site_id,datetime,DO_mg_L,EC_uS_cm,pH
102829,2018-10-22 15:00:00,,2050.9,7.4
102829,2019-10-21 12:00:00,,2000.95,7.3
102829,2020-10-27 13:00:00,,2051.0,7.69
102829,2021-12-13 11:00:00,,2050.3,7.03
102829,2022-11-24 08:00:00,,2050.3,6.55
102829,2023-10-17 12:00:00,,2000.25,6.97
102829,2024-10-16 09:00:00,,2050.3,7.03
102830,1984-09-13 00:00:00,,400.0,
102830,1990-03-28 00:00:00,,392.0,
102830,1991-07-16 00:00:00,,339.0,
102831,1985-08-21 00:00:00,,9100.0,
102831,1985-08-21 01:00:00,,9500.0,
102831,1990-03-28 00:00:00,,8833.0,
102865,1972-05-05 00:00:00,,2588.0,
102865,1972-05-05 01:00:00,,3832.0,
102865,1972-05-16 00:00:00,,563.0,
102865,1972-05-17 00:00:00,,587.0,
102868,1987-01-29 00:00:00,,1100.0,
102868,1987-02-24 00:00:00,,1100.0,
102869,1985-10-15 00:00:00,,450.0,
102869,1985-10-15 01:00:00,,440.0,
102873,1987-05-07 00:00:00,,110.0,
102873,2014-10-23 12:00:00,,100.0,6.82
103159,1992-09-23 00:00:00,,46000.0,
103160,1992-09-23 00:00:00,,47000.0,
103161,1992-09-23 00:00:00,,73000.0,
103161,2011-04-18 18:00:00,,,7.08
103161,2012-03-01 17:00:00,,,6.63
103161,2012-06-05 16:00:00,,,6.7
103161,2013-02-23 18:00:00,,,6.57
103161,2014-01-25 10:00:00,,,6.8
103161,2014-06-17 11:00:00,,,6.65
103161,2015-02-05 12:00:00,,,6.5
103182,1973-03-14 00:00:00,,106.0,
103182,1973-11-08 00:00:00,,121.0,
103354,1986-12-08 00:00:00,,1800.0,
103354,1988-03-29 00:00:00,,2200.0,
103354,1989-03-31 00:00:00,,2300.0,
103354,1989-12-05 00:00:00,,,9.91
103354,1990-04-04 00:00:00,,2200.0,9.69
103354,1990-06-06 00:00:00,,,9.4
103354,1990-09-21 00:00:00,,,9.69
103354,1990-12-06 00:00:00,,,9.88
103354,1991-03-26 00:00:00,,,9.58
103354,1991-06-06 00:00:00,,,9.7
103354,1991-09-24 00:00:00,,,9.48
103354,1991-12-11 00:00:00,,,9.55
103354,1992-03-23 00:00:00,,,9.61
103354,1992-06-03 00:00:00,,,9.45
103354,1992-09-09 00:00:00,,,9.24
103354,1992-12-03 00:00:00,,,9.45
103354,1993-06-11 00:00:00,,,8.99
103354,1994-06-28 00:00:00,,2120.0,8.87
103354,1994-09-09 00:00:00,,2268.0,
103354,1994-12-15 00:00:00,,2268.0,
103354,1995-03-08 00:00:00,,2276.0,
103354,1995-06-07 00:00:00,,2184.0,
103354,2008-04-15 11:00:00,,,8.0
103420,1988-12-12 00:00:00,,6700.0,
103582,1974-07-24 00:00:00,,1101.0,
103582,1981-07-15 00:00:00,,1150.0,
103583,1987-03-05 00:00:00,,2100.0,
103734,1993-11-10 00:00:00,,5840.0,
103734,1993-12-17 00:00:00,,5810.0,
103734,1994-01-19 00:00:00,,5640.0,
103734,1994-02-24 00:00:00,,5590.0,1.005
103734,1994-05-06 00:00:00,,6410.0,
103734,1994-07-18 00:00:00,,6170.0,
103734,1994-12-16 00:00:00,,6426.0,
103734,1995-03-21 00:00:00,,5620.0,
103734,1995-06-26 00:00:00,,5320.0,
103734,1995-09-22 00:00:00,,5440.0,
103734,1995-12-19 00:00:00,,12120.0,
103734,1996-03-25 00:00:00,,5885.0,
103734,1996-06-17 00:00:00,,5220.0,
103734,1996-12-23 00:00:00,,7050.0,
103734,1997-04-07 00:00:00,,7210.0,
103734,1997-06-21 00:00:00,,6970.0,
103734,1997-09-19 00:00:00,,6270.0,
103734,1997-12-20 00:00:00,,6610.0,
103734,1998-03-21 00:00:00,,8320.0,
103734,1998-06-15 00:00:00,,7150.0,
103734,1998-09-19 00:00:00,,6500.0,
103734,1998-12-16 00:00:00,,3200.0,
103734,1999-03-15 00:00:00,,5660.0,
103734,1999-06-16 00:00:00,,5850.0,
103734,1999-09-14 00:00:00,,4950.0,
103811,1990-10-30 00:00:00,,11000.0,
103811,2008-06-25 11:00:00,,,10.77
103811,2009-07-07 12:00:00,,2090.0,11.12
103811,2014-03-26 15:00:00,,498.0,6.96
103820,1993-02-11 00:00:00,,2000.0,
103820,2008-06-25 11:00:00,,,9.94
103822,1993-03-30 00:00:00,,1200.0,
103822,2015-02-10 00:00:00,,,8.83
103826,1993-11-10 00:00:00,,10510.0,
103826,1993-12-17 00:00:00,,10070.0,
103826,1994-01-19 00:00:00,,10170.0,
103826,1994-02-28 00:00:00,,9390.0,
103826,1994-05-06 00:00:00,,11540.0,
103826,1994-07-18 00:00:00,,10750.0,
103826,1994-12-16 00:00:00,,11960.0,
103826,1995-03-21 00:00:00,,10730.0,
103826,1995-06-26 00:00:00,,7830.0,
103826,1995-09-22 00:00:00,,9950.0,
103826,1995-12-19 00:00:00,,6030.0,
103826,1996-03-25 00:00:00,,11035.0,
103826,1996-06-17 00:00:00,,9660.0,
103826,1996-12-23 00:00:00,,13550.0,
103826,1997-04-07 00:00:00,,13200.0,
103826,1997-06-21 00:00:00,,12580.0,
103828,1993-11-11 00:00:00,,5260.0,
103828,1993-12-17 00:00:00,,5410.0,
103828,1994-01-19 00:00:00,,5170.0,
103828,1994-02-28 00:00:00,,4910.0,
103828,1994-05-06 00:00:00,,5510.0,
103828,1994-07-18 00:00:00,,5730.0,
103828,1994-12-16 00:00:00,,6183.0,
103828,1995-03-21 00:00:00,,5430.0,
103828,1995-06-26 00:00:00,,5140.0,
103828,1995-09-22 00:00:00,,4600.0,
103828,1995-12-19 00:00:00,,5720.0,
103828,1996-03-25 00:00:00,,5535.0,
103828,1996-06-17 00:00:00,,4920.0,
103828,1996-12-23 00:00:00,,6200.0,
103828,1997-04-07 00:00:00,,6860.0,
103828,1997-06-21 00:00:00,,6460.0,
103828,1997-09-19 00:00:00,,5970.0,
103828,1997-12-20 00:00:00,,5720.0,
103828,1998-03-21 00:00:00,,9000.0,
103828,1998-06-15 00:00:00,,6800.0,
103828,1998-09-19 00:00:00,,6950.0,
103828,1998-12-16 00:00:00,,3800.0,
103828,1999-03-15 00:00:00,,6130.0,
103828,1999-09-14 00:00:00,,6410.0,
103856,1983-07-30 00:00:00,,700.0,
103856,2014-11-10 00:00:00,,,7.26
103877,1989-05-03 00:00:00,,500.0,
103877,1989-05-03 01:00:00,,500.0,
103893,1991-07-08 00:00:00,,9500.0,
104068,1972-11-19 00:00:00,,1287.0,
104068,1980-06-12 00:00:00,,1350.0,
104068,2015-09-12 00:00:00,,,6.58
104069,1980-06-12 00:00:00,,386.0,
104069,2015-09-12 00:00:00,,,6.39
104069,2023-03-16 10:00:00,,,5.97
104078,1975-06-08 00:00:00,,1900.0,
104081,1975-05-28 00:00:00,,1670.0,
104081,1980-06-12 00:00:00,,1700.0,
104082,1975-05-29 00:00:00,,1810.0,
104082,1975-05-31 00:00:00,,2130.0,
104082,1976-05-28 00:00:00,,2350.0,
104082,1976-05-29 00:00:00,,2090.0,
104082,1976-05-30 00:00:00,,2110.0,
104082,1976-06-01 00:00:00,,2190.0,
104082,1976-06-02 00:00:00,,2210.0,
104082,1976-06-03 00:00:00,,2220.0,
104082,1976-06-29 00:00:00,,2290.0,
104083,1975-11-25 00:00:00,,2120.0,
104083,1975-12-05 00:00:00,,2220.0,
104083,1975-12-05 01:00:00,,2260.0,
104083,1980-06-12 00:00:00,,1850.0,
104092,1976-06-24 00:00:00,,1957.0,
104092,1980-06-17 00:00:00,,2170.0,
104093,1975-07-06 00:00:00,,1800.0,
104093,1980-06-12 00:00:00,,685.0,
104095,1980-06-12 00:00:00,,2700.0,
104097,1975-07-10 00:00:00,,1940.0,
104097,1976-04-08 00:00:00,,2660.0,
104097,1976-04-09 00:00:00,,2600.0,
104097,1980-06-12 00:00:00,,2420.0,
